Octopuses have three hearts and blue blood | underwater friend
Ladybug spots tell you how old they are | cool body
Fireflies make their own light in their tummies | glowing friend
Baby ducks follow the first thing they see when they hatch | cute baby
Baby foxes are called kits — like tiny puzzle pieces | cute baby
Otters have a favorite rock they keep in a little pocket | cute animal
Wombats poop cube-shaped — really | silly body
A single strand of spider web is stronger than steel | tiny hero
A shrimp's heart is inside its head | silly body
Slugs have four noses | silly body
The sun is so big, one million Earths could fit inside | space wow
A day on Venus is longer than its year | space wonder
There's a planet made mostly of diamond | space wonder
It rains sideways glass on one planet | space wonder
The moon is slowly moving away from Earth | space wow
A rainbow is a full circle — we only see half | sky magic
Clouds can weigh as much as 100 elephants | sky magic
A hurricane can spin faster than a racecar | sky magic
Sometimes it rains at night with a moon rainbow | sky magic
You can't burp in space — the bubbles don't rise | space silly
Astronauts grow 5 cm taller in space | space wow
There are more stars in the sky than grains of sand on Earth | space wow
The universe smells a little bit like raspberries | space silly
The moon has moonquakes, just like Earth has earthquakes | space wow
On Mars, the sunset is BLUE, not orange | space wonder
Space is completely silent — sound can't travel there | space wow
Every snowflake is a totally unique 6-sided shape | sky magic
Lightning is 5 times hotter than the surface of the sun | sky wow
There are 8 million lightning flashes on Earth every day | sky wow
A cloud can hold enough water to fill a swimming pool | sky magic
Sunlight takes 8 minutes to reach us from the sun | space wow
You can see the moon during the day | sky magic
Some stars are so big, a million suns fit inside | space wow
Astronauts sleep floating in tiny sleeping bags | space silly
Every hour, the earth spins as fast as a jet plane | space wow
A shooting star is really a tiny piece of space dust | sky magic
The northern lights dance in the sky like ribbons of color | sky magic
There's a huge storm on Jupiter that's bigger than Earth — and it's been going for 400 years | space wonder
Your brain is more powerful than any computer on Earth | body wow
Your heart beats 100,000 times every day | body wow
Your body makes new skin every 4 weeks | body wow
Your ears and nose never stop growing | body silly
Babies are born with 300 bones — grownups have 206 | body wow
Your fingerprints are totally unique — no one else has them | body wow
Sneezes zoom out of your nose at 100 miles per hour | body silly
Your tongue print is unique — like a fingerprint | body silly
Your body has enough water to fill a small bucket | body wow
You blink 20,000 times a day without thinking | body silly
Your stomach makes new lining every 3 days | body wow
Your left lung is smaller — to make room for your heart | body wow
You breathe about 20,000 times every single day | body wow
You have tiny helpers in your tummy that help you digest food | body wow
Your bones are stronger than concrete | body wow
The tiniest muscle in your body helps you hear | body wow
Your brain uses as much energy as a light bulb | body wow
You are about 1 cm taller in the morning than at night | body silly
Kids grow the fastest while they sleep | body wow
Your eyes can see 10 million colors | body wow
Sunflowers turn their heads to follow the sun | plant magic
Trees can talk to each other through their roots | plant magic
The tallest tree in the world is taller than a 30-floor building | plant wow
The oldest tree on Earth is over 4,800 years old | plant wow
Some trees can live longer than 20 kids all lined up in age | plant wow
Bananas are actually berries — but strawberries are not | plant silly
Pineapples take 2 whole years to grow | plant wow
A rainbow needs sun AND rain at the same time | sky magic
Bamboo can grow as much as your finger in one hour | plant wow
Some flowers only bloom for one single night | plant magic
Watermelons are 92% water | plant silly
Onions can make you cry because of a tiny secret gas | plant silly
Peanuts aren't nuts — they grow underground like potatoes | plant silly
The Amazon rainforest makes 20% of Earth's oxygen | plant wow
Mushrooms are more closely related to us than to plants | nature wow
Trees give us the oxygen we breathe | plant magic
A single tree can drink 100 liters of water a day | plant wow
Some plants eat tiny bugs to grow | plant wonder
Rainbows can appear in waterfalls | sky magic
A cactus can live 200 years in the desert | plant wow
There are more stars in the sky than fish in the sea | ocean wow
We have explored more of space than the deep ocean | ocean wow
The ocean makes half of the oxygen we breathe | ocean wow
Some fish can change colors like a rainbow | ocean magic
Clownfish live in stinging homes that don't sting them | ocean magic
Sea horses swim slowly and gently curl their tails together | ocean magic
A blue whale's heart is as big as a small car | ocean wow
A blue whale is louder than a jet plane | ocean wow
Coral is actually a tiny living animal | ocean wow
The ocean has a huge waterfall UNDER the water | ocean wonder
Baby sea turtles find the sea by following the moon | ocean magic
Some fish can walk on land for a short time | ocean wonder
The seahorse dad is the one who carries the babies | ocean magic
A pufferfish puffs up when it feels shy | ocean cute
Some fish sleep with their eyes wide open | ocean silly
Octopuses can taste with their arms | ocean silly
There is a shrimp that shoots bubbles like a tiny popcorn machine | ocean silly
There is a jellyfish that glows blue like the moon | ocean magic
There's a place in Turkey older than the pyramids | world wow
Iceland is growing bigger every year | world wow
Antarctica is technically the biggest desert on Earth | world silly
You can find gold in the ocean | world wow
Australia is wider than the moon | world wow
There are more chickens than people on Earth | world silly
You can't hum with your nose closed | body silly
A bolt of lightning has more energy than a whole city uses in a day | sky wow
The Nile river is longer than 400 marathons | world wow
There is a lake so salty you can float on top like a beach ball | world silly
Some caves have their own weather inside | world wonder
There's a place where the sun doesn't set for 6 months | world wonder
Snowflakes are white but ice is clear | world silly
Time zones mean somewhere in the world it's always tomorrow | world wow
Every drop of rain has a tiny piece of dust inside it | sky wonder
The world's biggest sandcastle was taller than a house | world silly
Fingernails grow faster in summer | body silly
You can't smell things while you sleep | body silly
The word 'planet' means 'wanderer' in Greek | word magic
The smell after rain has a name — petrichor | word magic
Colors mix in the sky to make rainbows | sky magic
Sound travels 4 times faster in water than in air | sound wow
Bees can see colors that we can't see at all | sight wonder
Butterflies see more colors than humans | sight wonder
You have a blind spot in each eye — but your brain fills it in | body wow
Whales sing songs that other whales hear across the ocean | ocean magic
A dolphin's whistle is like a name only its friends know | ocean magic
Fireflies talk to each other with blinking patterns | cute friend
Cats purr at a frequency that helps their bones heal | animal magic
You can hear the ocean inside a shell — but it's really air | sound silly
Honey never goes bad — jars 3,000 years old are still good | food wow
Chocolate used to be money | food silly
Popcorn pops because a tiny water drop inside gets hot | food wow
Cheese is milk that has been aged like a slow secret | food wow
The world's biggest pizza was as big as a football field | food silly
Ice cream was invented over 2,000 years ago | food wow
Bananas glow blue under a special purple light | food magic
Apples float in water because 25% of them is air | food silly
Carrots used to be purple, not orange | food silly
Marshmallows started as a real plant | food silly
Smiling actually makes your brain feel happier | feeling magic
Laughing is contagious — one laugh starts a whole room | feeling magic
Hugs release a magic chemical in your brain called oxytocin | feeling magic
Petting a dog lowers your heartbeat and helps you feel calm | feeling magic
Music can help plants grow | wow music
Singing makes your brain release happy chemicals | feeling magic
Kids laugh about 300 times a day — grownups only 15 | feeling silly
A tiny smile can make a stranger's day better | feeling magic
Bubble wrap was invented as wallpaper | invention silly
Play-Doh started as a wall cleaner | invention silly
The first crayons came in only 8 colors | invention wow
Popsicles were invented by an 11-year-old kid | kid inventor
Earmuffs were invented by a 15-year-old kid | kid inventor
Trampolines were invented by a teenager | kid inventor
The word 'robot' is only 100 years old | invention wow
Airplanes fly because of the shape of their wings | how it works
Ice cubes float because ice is lighter than water | how it works
A boomerang comes back because of how it spins in the air | how it works
A magnifying glass can start a fire with sunlight | how it works
Rubber came from tree sap | how it works
Velcro was invented after a walk with a dog | invention story
The chocolate chip cookie was invented by accident | invention story
Slinky was invented by accident when a spring fell off a shelf | invention story
Some dinosaurs had feathers, like giant birds | dino wow
Chickens are the closest living relative of the T-Rex | dino wow
A T-Rex tooth was as big as a banana | dino wow
Some dinosaurs were as small as a chicken | dino silly
The word 'dinosaur' means 'terrible lizard' in Greek | dino wow
Dinosaurs lived so long ago that grass didn't even exist yet | dino wow
Some dinosaurs swallowed rocks to help digest food | dino silly
Your brain never sleeps — even when you do | body wow
Everyone dreams — even if you don't remember | body wow
Fish sleep with their eyes open | animal silly
Sharks have to keep moving even while sleeping | animal wow
Dolphins sleep with half their brain at a time | ocean magic
Giraffes only sleep about 30 minutes a day | animal wow
Cows can sleep standing up | animal silly
Snails can sleep for 3 years in a row | animal silly

# Total: 230
